,Unnamed: 0,timestamp_x,cookie_id,campaign_id,external_site_id,impressions,timestamp_y,clics,timestamp,product_id,gender,dept,price,age,achats
0,0,1761958804,2392769782,3,370668,impressions,,,,,,,,,
1,1,1761958876,2693949047,1,339897,impressions,,,,,,,,,
2,2,1761958920,6841408721,2,989339,impressions,,,,,,,,,
3,3,1761958986,1457891936,1,530191,impressions,,,,,,,,,
4,4,1761959035,5354259272,1,206900,impressions,,,,,,,,,
5,5,1761959081,4555022961,3,457,impressions,,,,,,,,,
6,6,1761959086,3118263979,2,754393,impressions,,,,,,,,,
7,7,1761959108,6026221713,3,327948,impressions,,,,,,,,,
8,8,1761959163,5110337608,3,880929,impressions,,,,,,,,,
9,9,1761959206,6309178778,2,148360,impressions,,,,,,,,,
10,10,1761959218,3322214668,3,181063,impressions,,,,,,,,,
11,11,1761959255,665955022,2,646537,impressions,1762045615.0,clics,1763730651.0,1.0,f,50,354.0,63.0,achats
12,12,1761959257,2421789343,2,663787,impressions,,,,,,,,,
13,13,1761959309,4878940743,3,148495,impressions,,,,,,,,,
14,14,1761959458,7610771706,1,325088,impressions,,,,,,,,,
15,15,1761959720,5244205340,2,76299,impressions,,,,,,,,,
16,16,1761959829,6679923357,1,727358,impressions,,,,,,,,,
17,17,1761959892,717710423,1,41380,impressions,,,,,,,,,
18,18,1761959901,5546062197,3,794433,impressions,,,,,,,,,
19,19,1761959908,5757671441,2,730450,impressions,,,,,,,,,
20,20,1761959929,8576947497,3,516213,impressions,,,,,,,,,
21,21,1761959963,6355022950,1,174100,impressions,,,,,,,,,
22,22,1761959994,3573663193,2,155787,impressions,,,,,,,,,
23,23,1761960025,4217174943,3,151954,impressions,1761962267.0,clics,,,,,,,
24,24,1761960224,6647475877,2,194442,impressions,,,,,,,,,
25,25,1761960283,1500265592,1,453428,impressions,,,,,,,,,
26,26,1761960319,9673204778,3,641970,impressions,,,,,,,,,
27,27,1761960354,6694048812,1,109885,impressions,,,,,,,,,
28,28,1761960386,6336703627,1,783502,impressions,,,,,,,,,
29,29,1761960426,5424611649,3,61168,impressions,,,,,,,,,
30,30,1761960475,1777324022,1,699956,impressions,,,,,,,,,
31,31,1761960488,6160112821,1,79900,impressions,,,,,,,,,
32,32,1761960594,9303851868,2,172670,impressions,,,,,,,,,
33,33,1761960604,3436167450,3,515981,impressions,,,,,,,,,
34,34,1761960638,4623747764,1,222308,impressions,,,,,,,,,
35,35,1761960719,714030285,3,38610,impressions,,,,,,,,,
36,36,1761960832,9395840904,1,3459,impressions,,,,,,,,,
37,37,1761960842,3373507741,1,275038,impressions,,,,,,,,,
38,38,1761961032,1617564910,2,633203,impressions,,,,,,,,,
39,39,1761961058,9802036782,3,448674,impressions,,,,,,,,,
40,40,1761961317,893970906,3,972224,impressions,,,,,,,,,
41,41,1761961373,9970981242,2,270284,impressions,,,,,,,,,
42,42,1761961374,7066217989,2,214881,impressions,,,,,,,,,
43,43,1761961565,2542678723,2,978408,impressions,,,,,,,,,
44,44,1761961652,4791099221,3,732247,impressions,,,,,,,,,
45,45,1761961695,6004281446,3,255198,impressions,,,,,,,,,
46,46,1761961789,7533736273,1,70534,impressions,,,,,,,,,
47,47,1761961790,3237080967,2,237484,impressions,,,,,,,,,
48,48,1761961804,2941679747,2,744795,impressions,,,,,,,,,
49,49,1761961850,9410298864,2,469757,impressions,,,,,,,,,
50,50,1761961937,740299705,2,148405,impressions,,,,,,,,,
51,51,1761962190,2693232025,2,673707,impressions,1761963196.0,clics,1764228474.0,4.0,f,272,299.0,56.0,achats
52,52,1761962267,9652460052,1,307928,impressions,,,,,,,,,
53,53,1761962329,6025653491,2,601511,impressions,,,,,,,,,
54,54,1761962402,8581188253,1,483136,impressions,1761963081.0,clics,,,,,,,
55,55,1761962499,9613967830,1,318215,impressions,,,,,,,,,
56,56,1761962515,1495653624,3,680902,impressions,,,,,,,,,
57,57,1761962517,4310653968,3,773260,impressions,,,,,,,,,
58,58,1761962548,6023886275,1,411539,impressions,,,,,,,,,
59,59,1761962594,2470577315,2,254045,impressions,,,,,,,,,
60,60,1761962640,5819123934,1,258103,impressions,,,,,,,,,
61,61,1761962725,8724954481,1,185031,impressions,,,,,,,,,
62,62,1761962776,9498053910,2,797570,impressions,,,,,,,,,
63,63,1761963257,9255591765,1,171607,impressions,,,,,,,,,
64,64,1761963320,3171538912,3,765279,impressions,,,,,,,,,
65,65,1761963322,8690528078,1,533373,impressions,,,,,,,,,
66,66,1761963416,3827829818,3,570695,impressions,,,,,,,,,
67,67,1761963511,8207211633,3,545367,impressions,,,,,,,,,
68,68,1761963714,9251384689,1,666602,impressions,,,,,,,,,
69,69,1761963731,9610170980,3,791296,impressions,,,,,,,,,
70,70,1761963764,3617383477,1,164367,impressions,,,,,,,,,
71,71,1761963838,326580604,1,649210,impressions,,,,,,,,,
72,72,1761964051,8759107320,3,718778,impressions,,,,,,,,,
73,73,1761964092,3182293574,2,451811,impressions,,,,,,,,,
74,74,1761964292,3378055837,2,940996,impressions,,,,,,,,,
75,75,1761964295,7996714259,3,767630,impressions,,,,,,,,,
76,76,1761964298,1090609427,2,759372,impressions,,,,,,,,,
77,77,1761964315,2420244643,2,229690,impressions,,,,,,,,,
78,78,1761964456,405948970,3,376987,impressions,,,,,,,,,
79,79,1761964538,6693561493,3,490885,impressions,,,,,,,,,
80,80,1761964597,7521610105,3,171053,impressions,,,,,,,,,
81,81,1761964639,3158804363,1,34410,impressions,,,,,,,,,
82,82,1761964763,1694299108,1,555609,impressions,,,,,,,,,
83,83,1761964805,1481211266,1,283895,impressions,,,,,,,,,
84,84,1761964821,480866154,1,834847,impressions,,,,,,,,,
85,85,1761964839,7331011277,1,62321,impressions,,,,,,,,,
86,86,1761965180,9568474083,2,89955,impressions,,,,,,,,,
87,87,1761965235,7847011933,2,276236,impressions,1764218851.0,clics,1766638894.0,3.0,f,19,29.0,19.0,achats
88,88,1761965263,9943188621,2,91707,impressions,,,,,,,,,
89,89,1761965386,5254351894,3,773260,impressions,,,,,,,,,
90,90,1761965422,1632686165,2,920003,impressions,,,,,,,,,
91,91,1761965595,9924146369,2,713380,impressions,,,,,,,,,
92,92,1761965753,9207003491,2,247539,impressions,,,,,,,,,
93,93,1761965817,6500731083,3,886514,impressions,,,,,,,,,
94,94,1761965824,4473837692,3,560962,impressions,,,,,,,,,
95,95,1761965886,1179761123,3,926419,impressions,,,,,,,,,
96,96,1761965903,8905731989,1,540246,impressions,1761967692.0,clics,,,,,,,
97,97,1761966146,7998058164,2,975870,impressions,,,,,,,,,
98,98,1761966159,1320160582,3,770168,impressions,1761969362.0,clics,,,,,,,
99,99,1761966239,1464153249,3,554089,impressions,,,,,,,,,
100,100,1761966360,8910527074,3,957512,impressions,,,,,,,,,
101,101,1761966467,4770407837,1,308527,impressions,,,,,,,,,
102,102,1761966482,6746334736,1,604416,impressions,,,,,,,,,
103,103,1761966486,757955743,1,257137,impressions,,,,,,,,,
104,104,1761966838,6190567822,3,584718,impressions,,,,,,,,,
105,105,1761966980,8501526877,2,471651,impressions,,,,,,,,,
106,106,1761967062,2071156755,1,983252,impressions,1761969083.0,clics,,,,,,,
107,107,1761967380,2085262236,1,938091,impressions,,,,,,,,,
108,108,1761967477,7072965848,3,616410,impressions,,,,,,,,,
109,109,1761967505,5940722146,1,370159,impressions,,,,,,,,,
110,110,1761967707,5764995492,1,129396,impressions,,,,,,,,,
111,111,1761967985,2549967270,1,227519,impressions,,,,,,,,,
112,112,1761968062,5937607808,3,897722,impressions,1762949370.0,clics,,,,,,,
113,113,1761968500,2095178195,1,764358,impressions,,,,,,,,,
114,114,1761968643,5495668530,3,978685,impressions,,,,,,,,,
115,115,1761969211,5117674728,2,926973,impressions,,,,,,,,,
116,116,1761969499,9816723210,3,852097,impressions,,,,,,,,,
117,117,1761969520,6999216470,2,256950,impressions,,,,,,,,,
118,118,1761969808,1739468659,1,767495,impressions,,,,,,,,,
119,119,1761969840,8724284490,1,964475,impressions,,,,,,,,,
120,120,1761969936,6950761167,2,27492,impressions,,,,,,,,,
121,121,1761970058,5886568015,3,730405,impressions,,,,,,,,,
122,122,1761970155,1273677107,1,922129,impressions,,,,,,,,,
123,123,1761970203,6012138609,3,578998,impressions,,,,,,,,,
124,124,1761970283,7873509156,1,397149,impressions,,,,,,,,,
125,125,1761970429,391876829,2,166209,impressions,,,,,,,,,
126,126,1761970433,260104178,1,885728,impressions,,,,,,,,,
127,127,1761970565,1302664461,1,221200,impressions,,,,,,,,,
128,128,1761970660,5880696141,3,597266,impressions,,,,,,,,,
129,129,1761970760,2617703270,2,517553,impressions,,,,,,,,,
130,130,1761970802,6523368375,2,348477,impressions,,,,,,,,,
131,131,1761970840,6806841504,3,405497,impressions,,,,,,,,,
132,132,1761971018,1863851920,2,984495,impressions,,,,,,,,,
133,133,1761971294,3736279066,1,551828,impressions,,,,,,,,,
134,134,1761971561,497242997,2,33122,impressions,,,,,,,,,
135,135,1761971739,2253750189,2,835955,impressions,,,,,,,,,
136,136,1761971785,7772030445,3,184619,impressions,,,,,,,,,
137,137,1761971847,9012170284,3,419198,impressions,,,,,,,,,
138,138,1761971987,3366866710,3,746367,impressions,,,,,,,,,
139,139,1761972218,4532578601,1,817822,impressions,1761974713.0,clics,,,,,,,
140,140,1761972248,8108851120,2,224427,impressions,1761974207.0,clics,,,,,,,
141,141,1761972256,777862004,2,785254,impressions,,,,,,,,,
142,142,1761972674,5737000558,2,449183,impressions,,,,,,,,,
143,143,1761972770,3488376224,1,172715,impressions,,,,,,,,,
144,144,1761972866,5397361902,2,155555,impressions,,,,,,,,,
145,145,1761973200,7159946220,3,815007,impressions,,,,,,,,,
146,146,1761973226,8185544269,2,192413,impressions,,,,,,,,,
147,147,1761973525,2270081285,3,843659,impressions,,,,,,,,,
148,148,1761973721,1368659810,2,915114,impressions,,,,,,,,,
149,149,1761973913,4880658454,1,155368,impressions,,,,,,,,,
150,150,1761973933,4504720693,3,242605,impressions,1762982590.0,clics,,,,,,,
151,151,1761973988,8169776533,1,457486,impressions,,,,,,,,,
152,152,1761974332,2552267179,2,979606,impressions,,,,,,,,,
153,153,1761974470,9005708641,2,821236,impressions,,,,,,,,,
154,154,1761974590,4258254211,2,710520,impressions,,,,,,,,,
155,155,1761974655,5671668610,1,111083,impressions,,,,,,,,,
156,156,1761974692,5026804106,1,281215,impressions,,,,,,,,,
157,157,1761974956,6733221457,1,997320,impressions,,,,,,,,,
158,158,1761975029,188796442,3,372053,impressions,,,,,,,,,
159,159,1761975203,4846646719,1,638691,impressions,,,,,,,,,
160,160,1761975280,6774637952,1,415597,impressions,,,,,,,,,
161,161,1761975303,6858797774,2,57477,impressions,,,,,,,,,
162,162,1761975408,946669788,3,186184,impressions,,,,,,,,,
163,163,1761975535,4231539571,1,685656,impressions,,,,,,,,,
164,164,1761975695,4622243441,2,320244,impressions,,,,,,,,,
165,165,1761975724,2173991445,1,417169,impressions,,,,,,,,,
166,166,1761975822,9394130177,2,626929,impressions,,,,,,,,,
167,167,1761975895,9677238551,2,937537,impressions,,,,,,,,,
168,168,1761975984,4707660242,2,803754,impressions,,,,,,,,,
169,169,1761976084,646926701,1,796739,impressions,,,,,,,,,
170,170,1761976550,96888211,2,695112,impressions,,,,,,,,,
171,171,1761976620,1278101425,3,567236,impressions,,,,,,,,,
